Name,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,y,yp,bf/2tf,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi
WT20X181,181,53.2,20.3,20  1/4 ,16.0,16      ,1.12,1  1/8 ,  9/16,2.01,2      ,3.19,3  1/4 ,4.91,1.66,3.99,18.1,1870,217,122,5.92,691,135,86.3,3.60,54.2,511,7.96,0.759,55.6,71.6,56.6,72.6,7  1/2 
WT20X162,162,47.7,20.1,20  1/8 ,15.9,15  7/8 ,1.00,1      ,  1/2 ,1.81,1 13/16,2.99,3  1/16,4.77,1.50,4.40,20.1,1650,192,108,5.88,609,119,76.6,3.57,39.6,362,7.89,0.760,55.1,71.0,56.1,72.0,7  1/2 
WT20X148.5,148.5,43.6,19.9,19  7/8 ,15.8,15  7/8 ,0.930, 15/16,  1/2 ,1.65,1  5/8 ,2.83,2 15/16,4.71,1.38,4.80,21.4,1500,176,98.9,5.87,546,107,69.0,3.54,30.5,279,7.88,0.756,54.6,70.4,55.6,71.4,7  1/2 
WT20X138.5,138.5,40.7,19.8,19  7/8 ,15.8,15  7/8 ,0.830, 13/16,  7/16,1.58,1  9/16,2.76,2  7/8 ,4.50,1.29,5.03,23.9,1360,157,88.6,5.78,522,102,65.9,3.58,25.7,218,7.75,0.770,54.4,70.2,55.4,71.2,7  1/2 
WT20X124.5,124.5,36.7,19.7,19  3/4 ,15.8,15  3/4 ,0.750,  3/4 ,  3/8 ,1.42,1  7/16,2.60,2 11/16,4.41,1.16,5.55,26.3,1210,140,79.4,5.75,463,90.8,58.8,3.55,19.0,158,7.70,0.770,54.2,70.0,55.2,71.0,7  1/2 
WT20X107.5,107.5,31.8,19.5,19  1/2 ,15.8,15  3/4 ,0.650,  5/8 ,  5/16,1.22,1  1/4 ,2.40,2  1/2 ,4.28,1.01,6.45,30.0,1030,120,68.0,5.71,398,77.8,50.5,3.54,12.4,101,7.66,0.771,53.8,69.6,54.8,70.6,7  1/2 
WT20X99.5,99.5,29.2,19.3,19  3/8 ,15.8,15  3/4 ,0.650,  5/8 ,  5/16,1.07,1  1/16,2.25,2  5/16,4.47,0.929,7.39,29.7,988,117,66.5,5.81,347,68.2,44.1,3.45,9.12,83.5,7.82,0.746,53.4,69.2,54.4,70.2,7  1/2 
WT20X196,196,57.8,20.8,20  3/4 ,12.4,12  3/8 ,1.42,1  7/16,  3/4 ,2.52,2  1/2 ,3.70,3 13/16,5.94,2.33,2.45,14.6,2270,275,153,6.27,401,106,64.9,2.64,85.4,796,8.26,0.679,53.0,65.4,54.0,66.4,7  1/2 
WT20X165.5,165.5,48.8,20.4,20  3/8 ,12.2,12  1/8 ,1.22,1  1/4 ,  5/8 ,2.13,2  1/8 ,3.31,3  3/8 ,5.74,2.00,2.86,16.7,1880,231,128,6.21,322,85.7,52.9,2.57,52.5,484,8.19,0.674,52.0,64.2,53.0,65.2,7  1/2 
WT20X163.5,163.5,47.9,20.4,20  3/8 ,12.1,12  1/8 ,1.18,1  3/16,  5/8 ,2.13,2  1/8 ,3.31,3  3/8 ,5.66,1.98,2.85,17.3,1840,224,125,6.19,320,85.0,52.7,2.58,51.4,449,8.13,0.680,51.9,64.0,52.9,65.0,7  1/2 
