Name,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi
W14X145,145,42.7,14.8,14  3/4 ,15.5,15  1/2 ,0.680, 11/16,  3/8 ,1.09,1  1/16,1.69,2  3/8 ,1  9/16,7.11,16.8,1710,260,232,6.33,677,133,87.3,3.98,15.2,31700,53.1,224,55.4,129,4.47,13.7,73.7,89.2,45.1,60.6,10      ,7  1/2 
W14X132,132,38.8,14.7,14  5/8 ,14.7,14  3/4 ,0.645,  5/8 ,  5/16,1.03,1      ,1.63,2  5/16,1  9/16,7.15,17.7,1530,234,209,6.28,548,113,74.5,3.76,12.3,25500,50.2,190,49.5,116,4.23,13.7,71.2,85.9,44.1,58.8,10      ,5  1/2 
W14X120,120,35.3,14.5,14  1/2 ,14.7,14  5/8 ,0.590,  9/16,  5/16,0.940, 15/16,1.54,2  1/4 ,1  1/2 ,7.80,19.3,1380,212,190,6.24,495,102,67.5,3.74,9.37,22700,49.8,172,45.0,105,4.20,13.6,70.9,85.6,43.7,58.4,10      ,5  1/2 
W14X109,109,32.0,14.3,14  3/8 ,14.6,14  5/8 ,0.525,  1/2 ,  1/4 ,0.860,  7/8 ,1.46,2  3/16,1  1/2 ,8.49,21.7,1240,192,173,6.22,447,92.7,61.2,3.73,7.12,20200,49.1,154,40.7,94.8,4.17,13.4,70.3,84.9,43.2,57.8,10      ,5  1/2 
W14X99,99.0,29.1,14.2,14  1/8 ,14.6,14  5/8 ,0.485,  1/2 ,  1/4 ,0.780,  3/4 ,1.38,2  1/16,1  7/16,9.34,23.5,1110,173,157,6.17,402,83.6,55.2,3.71,5.37,18000,49.0,139,36.9,86.1,4.14,13.4,70.2,84.8,43.0,57.6,10      ,5  1/2 
W14X90,90.0,26.5,14.0,14      ,14.5,14  1/2 ,0.440,  7/16,  1/4 ,0.710, 11/16,1.31,2      ,1  7/16,10.2,25.9,999,157,143,6.14,362,75.6,49.9,3.70,4.06,16000,48.2,124,33.2,77.1,4.10,13.3,69.6,84.1,42.5,57.0,10      ,5  1/2 
W14X82,82.0,24.0,14.3,14  1/4 ,10.1,10  1/8 ,0.510,  1/2 ,  1/4 ,0.855,  7/8 ,1.45,1 11/16,1  1/16,5.92,22.4,881,139,123,6.05,148,44.8,29.3,2.48,5.07,6710,33.9,73.3,27.6,68.2,2.85,13.4,56.9,67.0,38.7,48.8,10  7/8 ,5  1/2 
W14X74,74.0,21.8,14.2,14  1/8 ,10.1,10  1/8 ,0.450,  7/16,  1/4 ,0.785, 13/16,1.38,1  5/8 ,1  1/16,6.41,25.4,795,126,112,6.04,134,40.5,26.6,2.48,3.87,5990,33.9,67.1,25.4,62.2,2.83,13.4,56.8,66.9,38.5,48.6,10  7/8 ,5  1/2 
W14X68,68.0,20.0,14.0,14      ,10.0,10      ,0.415,  7/16,  1/4 ,0.720,  3/4 ,1.31,1  9/16,1  1/16,6.97,27.5,722,115,103,6.01,121,36.9,24.2,2.46,3.01,5380,33.2,59.8,22.9,56.0,2.80,13.3,56.2,66.2,38.0,48.0,10  7/8 ,5  1/2 
W14X61,61.0,17.9,13.9,13  7/8 ,10.0,10      ,0.375,  3/8 ,  3/16,0.645,  5/8 ,1.24,1  1/2 ,1      ,7.75,30.4,640,102,92.1,5.98,107,32.8,21.5,2.45,2.19,4710,33.1,53.4,20.6,50.2,2.78,13.3,56.0,66.0,37.8,47.8,10  7/8 ,5  1/2 
W14X53,53.0,15.6,13.9,13  7/8 ,8.06,8      ,0.370,  3/8 ,  3/16,0.660, 11/16,1.25,1  1/2 ,1      ,6.11,30.9,541,87.1,77.8,5.89,57.7,22.0,14.3,1.92,1.94,2540,26.7,35.5,16.8,42.5,2.22,13.2,50.2,58.3,35.9,43.9,10  7/8 ,5  1/2 
W14X48,48.0,14.1,13.8,13  3/4 ,8.03,8      ,0.340,  5/16,  3/16,0.595,  5/8 ,1.19,1  7/16,1      ,6.75,33.6,484,78.4,70.2,5.85,51.4,19.6,12.8,1.91,1.45,2240,26.5,31.7,15.1,38.3,2.20,13.2,50.0,58.0,35.6,43.7,10  7/8 ,5  1/2 
W14X43,43.0,12.6,13.7,13  5/8 ,8.00,8      ,0.305,  5/16,  3/16,0.530,  1/2 ,1.12,1  3/8 ,1      ,7.54,37.4,428,69.6,62.6,5.82,45.2,17.3,11.3,1.89,1.05,1950,26.3,27.9,13.4,34.0,2.18,13.2,49.8,57.8,35.4,43.4,10  7/8 ,5  1/2 
W14X38,38.0,11.2,14.1,14  1/8 ,6.77,6  3/4 ,0.310,  5/16,  3/16,0.515,  1/2 ,0.915,1  1/4 , 13/16,6.57,39.6,385,61.5,54.6,5.87,26.7,12.1,7.88,1.55,0.798,1230,23.0,20.0,11.3,30.3,1.82,13.6,47.2,54.0,35.0,41.7,11  5/8 ,3  1/2 
W14X34,34.0,10.0,14.0,14      ,6.75,6  3/4 ,0.285,  5/16,  3/16,0.455,  7/16,0.855,1  3/16,  3/4 ,7.41,43.1,340,54.6,48.6,5.83,23.3,10.6,6.91,1.53,0.569,1070,22.9,17.6,10.0,26.9,1.80,13.5,47.0,53.7,34.8,41.5,11  5/8 ,3  1/2 
W14X30,30.0,8.85,13.8,13  7/8 ,6.73,6  3/4 ,0.270,  1/4 ,  1/8 ,0.385,  3/8 ,0.785,1  1/8 ,  3/4 ,8.74,45.4,291,47.3,42.0,5.73,19.6,8.99,5.82,1.49,0.380,887,22.6,14.6,8.34,23.1,1.77,13.4,46.6,53.3,34.3,41.1,11  5/8 ,3  1/2 
W14X26,26.0,7.69,13.9,13  7/8 ,5.03,5      ,0.255,  1/4 ,  1/8 ,0.420,  7/16,0.820,1  1/8 ,  3/4 ,5.98,48.1,245,40.2,35.3,5.65,8.91,5.54,3.55,1.08,0.358,405,17.0,8.95,6.76,19.7,1.30,13.5,41.7,46.7,32.8,37.9,11  5/8 ,2  3/4 
W14X22,22.0,6.49,13.7,13  3/4 ,5.00,5      ,0.230,  1/4 ,  1/8 ,0.335,  5/16,0.735,1  1/16,  3/4 ,7.46,53.3,199,33.2,29.0,5.54,7.00,4.39,2.80,1.04,0.208,314,16.7,7.00,5.34,16.1,1.27,13.4,41.3,46.3,32.4,37.4,11  5/8 ,2  3/4 
W12X336,336,98.9,16.8,16  7/8 ,13.4,13  3/8 ,1.78,1  3/4 ,  7/8 ,2.96,2 15/16,3.55,3  7/8 ,1 11/16,2.26,5.47,4060,603,483,6.41,1190,274,177,3.47,243,57000,46.4,460,119,301,4.13,13.8,69.2,82.6,47.0,60.4,9  1/8 ,5  1/2 
W12X305,305,89.5,16.3,16  3/8 ,13.2,13  1/4 ,1.63,1  5/8 , 13/16,2.71,2 11/16,3.30,3  5/8 ,1  5/8 ,2.45,5.98,3550,537,435,6.29,1050,244,159,3.42,185,48600,44.8,401,107,267,4.05,13.6,67.9,81.1,45.8,59.0,9  1/8 ,5  1/2 
W12X279,279,81.9,15.9,15  7/8 ,13.1,13  1/8 ,1.53,1  1/2 ,  3/4 ,2.47,2  1/2 ,3.07,3  3/8 ,1  5/8 ,2.66,6.35,3110,481,393,6.16,937,220,143,3.38,143,42000,44.0,356,96.0,240,4.00,13.4,67.0,80.1,44.9,58.0,9  1/8 ,5  1/2 
W12X252,252,74.1,15.4,15  3/8 ,13.0,13      ,1.40,1  3/8 , 11/16,2.25,2  1/4 ,2.85,3  1/8 ,1  1/2 ,2.89,6.96,2720,428,353,6.06,828,196,127,3.34,108,35800,42.7,313,85.8,213,3.93,13.2,66.0,79.0,43.8,56.8,9  1/8 ,5  1/2 
W12X230,230,67.7,15.1,15      ,12.9,12  7/8 ,1.29,1  5/16, 11/16,2.07,2  1/16,2.67,2 15/16,1  1/2 ,3.11,7.56,2420,386,321,5.97,742,177,115,3.31,83.8,31200,42.0,281,78.3,193,3.87,13.0,65.3,78.2,43.1,56.0,9  1/8 ,5  1/2 
W12X210,210,61.8,14.7,14  3/4 ,12.8,12  3/4 ,1.18,1  3/16,  5/8 ,1.90,1  7/8 ,2.50,2 13/16,1  7/16,3.37,8.23,2140,348,292,5.89,664,159,104,3.28,64.7,27200,41.0,249,70.6,173,3.81,12.8,64.4,77.2,42.2,55.0,9  1/8 ,5  1/2 
W12X190,190,56.0,14.4,14  3/8 ,12.7,12  5/8 ,1.06,1  1/16,  9/16,1.74,1  3/4 ,2.33,2  5/8 ,1  3/8 ,3.65,9.16,1890,311,263,5.82,589,143,93.0,3.25,48.8,23600,40.2,222,64.1,156,3.77,12.7,63.8,76.5,41.5,54.2,9  1/8 ,5  1/2 
W12X170,170,50.0,14.0,14      ,12.6,12  5/8 ,0.960, 15/16,  1/2 ,1.56,1  9/16,2.16,2  7/16,1  5/16,4.03,10.1,1650,275,235,5.74,517,126,82.3,3.22,35.6,20100,39.2,193,56.5,136,3.70,12.4,62.9,75.5,40.6,53.2,9  1/8 ,5  1/2 
W12X152,152,44.7,13.7,13  3/4 ,12.5,12  1/2 ,0.870,  7/8 ,  7/16,1.40,1  3/8 ,2.00,2  5/16,1  1/4 ,4.46,11.2,1430,243,209,5.66,454,111,72.8,3.19,25.8,17200,38.4,168,50.1,121,3.66,12.3,62.1,74.6,39.9,52.4,9  1/8 ,5  1/2 
W12X136,136,39.9,13.4,13  3/8 ,12.4,12  3/8 ,0.790, 13/16,  7/16,1.25,1  1/4 ,1.85,2  1/8 ,1  1/4 ,4.96,12.3,1240,214,186,5.58,398,98.0,64.2,3.16,18.5,14700,37.7,146,44.1,106,3.61,12.2,61.4,73.8,39.2,51.6,9  1/8 ,5  1/2 
W12X120,120,35.2,13.1,13  1/8 ,12.3,12  3/8 ,0.710, 11/16,  3/8 ,1.11,1  1/8 ,1.70,2      ,1  3/16,5.57,13.7,1070,186,163,5.51,345,85.4,56.0,3.13,12.9,12400,36.9,126,38.6,92.4,3.56,12.0,60.7,73.0,38.5,50.8,9  1/8 ,5  1/2 
W12X106,106,31.2,12.9,12  7/8 ,12.2,12  1/4 ,0.610,  5/8 ,  5/16,0.990,1      ,1.59,1  7/8 ,1  1/8 ,6.17,15.9,933,164,145,5.47,301,75.1,49.3,3.11,9.13,10700,36.3,110,34.2,81.0,3.52,11.9,60.2,72.4,38.0,50.2,9  1/8 ,5  1/2 
W12X96,96.0,28.2,12.7,12  3/4 ,12.2,12  1/8 ,0.550,  9/16,  5/16,0.900,  7/8 ,1.50,1 13/16,1  1/8 ,6.76,17.7,833,147,131,5.44,270,67.5,44.4,3.09,6.85,9410,36.0,98.8,30.9,73.0,3.49,11.8,59.9,72.1,37.6,49.8,9  1/8 ,5  1/2 
W12X87,87.0,25.6,12.5,12  1/2 ,12.1,12  1/8 ,0.515,  1/2 ,  1/4 ,0.810, 13/16,1.41,1 11/16,1  1/16,7.48,18.9,740,132,118,5.38,241,60.4,39.7,3.07,5.10,8270,35.4,86.6,27.4,64.9,3.46,11.7,59.2,71.3,37.1,49.2,9  1/8 ,5  1/2 
W12X79,79.0,23.2,12.4,12  3/8 ,12.1,12  1/8 ,0.470,  1/2 ,  1/4 ,0.735,  3/4 ,1.33,1  5/8 ,1  1/16,8.22,20.7,662,119,107,5.34,216,54.3,35.8,3.05,3.84,7330,35.3,78.5,24.9,58.9,3.43,11.7,59.1,71.2,36.9,49.0,9  1/8 ,5  1/2 
W12X72,72.0,21.1,12.3,12  1/4 ,12.0,12      ,0.430,  7/16,  1/4 ,0.670, 11/16,1.27,1  9/16,1  1/16,8.99,22.6,597,108,97.4,5.31,195,49.2,32.4,3.04,2.93,6540,34.9,70.1,22.5,53.2,3.41,11.6,58.7,70.7,36.6,48.6,9  1/8 ,5  1/2 
W12X65,65.0,19.1,12.1,12  1/8 ,12.0,12      ,0.390,  3/8 ,  3/16,0.605,  5/8 ,1.20,1  1/2 ,1      ,9.92,24.9,533,96.8,87.9,5.28,174,44.1,29.1,3.02,2.18,5780,34.5,62.6,20.2,47.5,3.38,11.5,58.4,70.4,36.2,48.2,9  1/8 ,5  1/2 
W12X58,58.0,17.0,12.2,12  1/4 ,10.0,10      ,0.360,  3/8 ,  3/16,0.640,  5/8 ,1.24,1  1/2 , 15/16,7.82,27.0,475,86.4,78.0,5.28,107,32.5,21.4,2.51,2.10,3570,28.9,46.2,17.8,42.4,2.81,11.6,52.6,62.6,34.4,44.4,9  1/4 ,5  1/2 
